-> Name: C1, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (50.292,48.26), 
-> Name: C10, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (55.753,37.973), 
-> Name: C100, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (39.1414,58.1152), 
-> Name: C101, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (38.735,54.5084), 
-> Name: C102, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (38.354,49.3776), 
-> Name: C103, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.5788,49.3776), 
-> Name: C104, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (32.385,49.7586), 
-> Name: C105, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (35.941,58.1406), 
-> Name: C106, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (40.3352,56.9214), 
-> Name: C107, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (34.3916,48.5648), 
-> Name: C108, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (40.3352,48.1584), 
-> Name: C109, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (35.941,53.467), 
-> Name: C11, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (56.388,35.687), 
-> Name: C110, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (40.3352,57.7088), 
-> Name: C111, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (37.5412,58.1152), 
-> Name: C112, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (39.1414,50.165), 
-> Name: C113, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.6042,47.752), 
-> Name: C114, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (36.7284,49.3776), 
-> Name: C115, -> Value: 4.7uF, -> Package: 0402, -> X,Y coordinates: (34.163,60.071), 
-> Name: C116, -> Value: 0.01uF, -> Package: 0201, -> X,Y coordinates: (33.147,59.944), 
-> Name: C117, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (30.734,12.446), 
-> Name: C118, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (31.75,63.754), 
-> Name: C119, -> Value: 7.36pF, -> Package: 0402, -> X,Y coordinates: (42.672,44.831), 
-> Name: C12, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (6.731,38.1), 
-> Name: C120, -> Value: 7.36pF, -> Package: 0402, -> X,Y coordinates: (47.625,47.244), 
-> Name: C121, -> Value: 12pF, -> Package: 0402, -> X,Y coordinates: (29.21,63.627), 
-> Name: C122, -> Value: 12pF, -> Package: 0402, -> X,Y coordinates: (26.416,64.516), 
-> Name: C123, -> Value: 0.01uF, -> Package: 0402, -> X,Y coordinates: (52.451,68.326), 
-> Name: C124, -> Value: 0.01uF, -> Package: 0402, -> X,Y coordinates: (55.626,67.31), 
-> Name: C125, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (52.451,67.183), 
-> Name: C126, -> Value: 0.1uF, -> Package: 0402, -> X,Y coordinates: (57.531,66.929), 
-> Name: C127, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (52.451,66.04), 
-> Name: C128, -> Value: 1uF, -> Package: 0402, -> X,Y coordinates: (58.801,66.929), 
-> Name: C129, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (52.705,63.627), 
-> Name: C13, -> Value: 0.1uF, -> Package: 0603, -> X,Y coordinates: (6.35,64.008), 
-> Name: C130, -> Value: 10uF, -> Package: 0402, -> X,Y coordinates: (56.388,62.484), 
